German,English
zusammen ,together
welt ,world
unter ,under
habt ,have
schnell ,fast
andere ,other
tot ,dead
getan ,done
darf ,may
erst ,first
rein ,purely
stimmt ,Right
nehmen ,to take
kinder ,children
eines ,one
glauben ,believe
bringen ,bring
ganze ,whole
genug ,enough
scheiße ,crap
brauchen ,need
gegen ,against
moment ,moment
junge ,Boy
steht ,stands
sonst ,otherwise
musik ,music
arbeit ,job
seid ,are
ihrer ,of their
fragen ,ask
herr ,Mr
dabei ,there
heißt ,is called
familie ,family
warten ,waiting
niemand ,no one
sofort ,right away
bevor ,before
jahre ,years
einmal ,once
problem ,problem
sohn ,son
wann ,when
brauche ,need
fertig ,finished
halt ,stop
allein ,alone
beim ,at the
sprechen ,speak
beide ,both
gefunden ,found
hatten ,had
sache ,Thing
hilfe ,Help
verdammt ,damned
ne ,ne
jeder ,everyone
warst ,were
gern ,gladly
konnte ,could
darüber ,about that
halten ,hold
siehst ,see
verstehe ,understand
jahren ,years
kam ,came
kind ,child
wusste ,knew
wahr ,true
seinen ,his
dazu ,to
bruder ,brothers
daran ,it
ihrem ,their
denken ,think
könnten ,could
dank ,thanks
würden ,would
lieber ,rather
fall ,case
deiner ,yours
sehe ,see
egal ,no matter
kennen ,know
deinem ,your
vergessen ,to forget
frage ,question
mache ,make
komme ,get
sage ,legend
mag ,like
sieh ,look
echt ,real
gib ,give
eigentlich ,actually
jeden ,each
dad ,dad
gab ,gave
uhr ,Clock
stadt ,city
männer ,Men
baby ,infant
fahren ,drive
namen ,names
bekommen ,to get
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,luck
letzte ,latest
freunde ,friends
n ,n
all ,Alles
darauf ,thereon
ende ,end
dr. ,dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minutes
vielen ,a lot of
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,stand
sterben ,to die
hätten ,had
draußen ,outside
kenne ,know
fast ,nearly
runter ,down
vorbei ,past
treffen ,to meet
gerne ,with pleasure
dran ,tuned
wurden ,were
arbeiten ,work
mom ,mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,Behind
sorgen ,to care
einzige ,only one
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,need
idee ,idea
schwester ,sister
drin ,in it
ruhig ,calm
sah ,saw
ganzen ,all
spät ,late
ziemlich ,quite
solltest ,should
name ,Surname
sogar ,even
kurz ,short
kerl ,Guy
frauen ,women
liegt ,lies
suchen ,search
finde ,find
je ,ever
woher ,from where
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hears
verstehen ,understand
spielen ,play
s. ,s.
überhaupt ,at all
teufel ,devil
verstanden ,Understood
verloren ,lost
große ,size
hand ,hand
grund ,reason
jahr ,year
kommst ,coming
mama ,mummy
ruhe ,Quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,think
oben ,above
gestern ,yesterday
versuchen ,to attempt
art ,kind
letzten ,last
schatz ,sweetheart
endlich ,at last
he ,hey
nimm ,take
etwa ,approximately
erzählt ,tells
läuft ,running
schwer ,heavy
anders ,different
miss ,ill
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tries
gekommen ,came
geschichte ,history
wenig ,little
holen ,to fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,therefore
welche ,Which
bestimmt ,certainly
hoch ,high
alter ,Age
sagst ,say
schau ,show
ah ,Ah
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,like
spaß ,fun
niemals ,No way
schuld ,fault
getötet ,killed
wollten ,wanted to
verlassen ,leave
zeigen ,demonstrate
beste ,best
ernst ,serious
unserer ,our
denen ,to those
ort ,place
bleibt ,remains
würdest ,would
manchmal ,sometimes
glaubst ,think
seite ,page
lasst ,leaves
zwischen ,between
eben ,just
während ,while
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,girlfriend
krieg ,war
gefällt ,like
kleinen ,small
erzählen ,tell
anderes ,other
tage ,days
entschuldigen ,to apologize
wichtig ,important
gehst ,going
allen ,all
bett ,bed
mrs. ,mrs.
sachen ,stuff
the ,the
schlecht ,bad
schule ,school
entschuldigung ,sorry
wort ,word
john ,John
hättest ,had
wären ,would
typ ,Type
schlafen ,sleep
äh ,um
tu ,tu
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,human
kleiner ,smaller
stellen ,put
oft ,often
sorge ,worry
gedacht ,thought
tust ,do
trinken ,drink
einige ,some
dies ,this
ding ,thing
unseren ,our
kriegen ,Obtain
blut ,blood
ehrlich ,honest
eltern ,parents
scheint ,seems
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,permanent
wiedersehen ,meet again
frei ,free
wen ,whom
drauf ,it
möglich ,possible
irgendwie ,somehow
reicht ,enough
fest ,firmly
besten ,best
waffe ,weapon
kaum ,barely
irgendwas ,anything
klingt ,sounds
platz ,place
brauchst ,need
rede ,speech
papa ,father
falsch ,not correct
sondern ,rather
alten ,old
nummer ,number
früher ,earlier
jungen ,boys
wohin ,where
außer ,except
früh ,early
setzen ,put
zuerst ,first
wahrscheinlich ,probably
dürfen ,allowed to
jede ,each
arsch ,ass
telefon ,phone
tue ,do
kennst ,know
willkommen ,welcome
plan ,plan
großen ,huge
retten ,save
hierher ,here
wär ,would
bring ,bring
fehler ,error
wollt ,want
dollar ,dollar
zehn ,ten
allem ,all
pass ,passport
nächste ,next
stunde ,hour
hände ,hands
gegeben ,given
menge ,amount
langsam ,slowly
bereits ,already
wartet ,waiting
sechs ,six
lieben ,love
meines ,mine
büro ,office
nächsten ,next
gebe ,give
wochen ,weeks
ruf ,call
schaffen ,create
leider ,Unfortunately
scheiß ,shit
hölle ,hell
trotzdem ,Nevertheless
doktor ,doctor
tja ,tja
new ,new
voll ,full
film ,Movie
überall ,all over
hund ,dog
geworden ,become
direkt ,directly
wolltest ,wanted
tat ,did
denkt ,thinks
schiff ,ship
neues ,new
wem ,whom
könig ,king
danach ,after that
funktioniert ,works
hattest ,had
lernen ,learn
deswegen ,therefore
wow ,Wow
nennen ,call
hm ,Hm
feuer ,Fire
laufen ,to run
alleine ,alone
erinnern ,recall
völlig ,completely
kleines ,small
könnt ,can
stelle ,Job
kumpel ,Dude
verlieren ,to lose
probleme ,problems
spricht ,speaks
kaffee ,coffee
luft ,air
fand ,found
i ,i
entschuldige ,Excuse me
ziehen ,pull
verschwinden ,disappear
könntest ,could
seht ,look
aufhören ,stop
eigenen ,own
richtige ,right one
unserem ,our
suche ,search
zwar ,though
groß ,large
hol ,hol
buch ,book
krank ,ill
fühle ,feel
jedes ,each
verstehst ,understand
wert ,value
arzt ,doctor
froh ,glad
versuche ,tries
straße ,road
rufen ,call
heiraten ,marry
super ,great
sam ,sam
lebt ,lives
gutes ,good
lasse ,leave
onkel ,uncle
total ,total
gebracht ,brought
party ,party
erklären ,to explain
spielt ,plays
wahl ,choice
vertrauen ,trust
damals ,back then
tagen ,meet
leicht ,light
nachdem ,after this
gegangen ,went
gefühl ,feeling
kaufen ,to buy
geschafft ,made
typen ,types
interessiert ,Interested
möchten ,would like
halte ,think
hält ,keeps
glaub ,think
irgendwo ,somewhere
stück ,piece
genauso ,just like that
kennt ,knows
genommen ,took
zukunft ,future
weniger ,Less
cool ,cool
licht ,light
getroffen ,met
himmel ,sky
nachricht ,message
drüben ,over there
passt ,fit
sagten ,said
kümmern ,To take care of
laut ,according to
vergiss ,forget
angerufen ,called
sitzen ,sit
daß ,that
erde ,earth
großer ,greater
schlüssel ,key
rest ,rest
passieren ,happen
eher ,rather
gefragt ,asked
gefängnis ,jail
opfer ,Victim
körper ,body
solche ,such
mist ,damn
mr ,mr
findet ,finds
schreiben ,write
böse ,evil
gesprochen ,spoken
versuch ,attempt
vorstellen ,imagine
wovon ,About what
sobald ,as soon as
nochmal ,once again
herren ,Men's
sex ,sex
waffen ,weapons
wohnung ,flat
weh ,sore
heißen ,be called
krankenhaus ,hospital
bringe ,bring
höre ,hear
millionen ,millions
klasse ,class
hart ,hard
worden ,been
sinn ,sense
außerdem ,also
verletzt ,injured
ändern ,to change
erfahren ,Experienced
tragen ,carry
wenigstens ,at least
vorsichtig ,careful
daddy ,daddy
stolz ,proud
stark ,strongly
fällt ,falls
möchtest ,want
leuten ,people
besonders ,especially
schöne ,lovely
schicken ,send
person ,person
schätze ,wealth
solange ,as long as
länger ,longer
großartig ,Great
lacht ,laughs
anrufen ,call
stand ,was standing
redest ,talking about
fühlen ,feel
erwartet ,expected
boden ,ground
boss ,boss
stimme ,voice
glaubt ,believes
still ,quiet
sicherheit ,security
setz ,translated
ma ,ma
mund ,mouth
kämpfen ,fight
wisst ,know
lachen ,laugh
hörst ,hear
zeug ,stuff
lustig ,funny
umbringen ,kill
sollst ,shalt
hasse ,hate
schlimm ,bad
o ,O
unglaublich ,incredible
wärst ,'d
laden ,load
führen ,to lead
gestorben ,died
schauen ,watch
meinung ,opinion
lesen ,read
mörder ,killer
frank ,frank
ähm ,um
geschehen ,done
geschäft ,business
idiot ,idiot
verzeihung ,forgiveness
fliegen ,to fly
zeig ,show
team ,team
general ,general
mike ,mike
aufs ,onto
york ,York
vorher ,previously
schluss ,Enough
schneller ,more quickly
liebt ,loves
verdient ,earned
mögen ,to like
meisten ,most
denk ,thinking
umgebracht ,killed
perfekt ,Perfect
versprochen ,promised
handy ,mobile
hinten ,behind
monate ,months
erinnere ,remember
acht ,eight
arbeitet ,is working
fallen ,fall
rufe ,call
nötig ,necessary
a ,a
mord ,murder
heraus ,out
tages ,day
unmöglich ,impossible
liebling ,Darling
charlie ,charlie
tatsächlich ,indeed
folgen ,consequences
bitten ,ask
behalten ,to keep
nähe ,neighborhood
arbeite ,working
joe ,joe
verdammte ,damned
plötzlich ,suddenly
lebens ,life
hole ,get
tisch ,table
michael ,Michael
hörte ,heard
jemals ,ever
liegen ,lie
verkaufen ,to sell
gefährlich ,dangerous
anfangen ,to begin
bekommt ,gets
machte ,made
ha ,Ha
hotel ,hotel
hilft ,help
werdet ,will
meister ,master
kampf ,struggle
antwort ,answer
konnten ,could
geschickt ,cleverly
jedem ,each
obwohl ,although
sieben ,seven
komisch ,funny
gewinnen ,win
ihres ,their
bezahlt ,paid
you ,you
voller ,full of
unterwegs ,on road
dumm ,stupid
ärger ,trouble
bild ,picture
george ,George
neu ,New
bezahlen ,pay
dagegen ,on the other hand
seien ,are
starb ,died
tom ,tom
monaten ,months
leiche ,corpse
niemanden ,anyone
auge ,eye
arschloch ,asshole
verheiratet ,married
peter ,Peter
zieh ,pulling
nimmt ,takes
gerettet ,saved
agent ,agent
traum ,dream
entscheidung ,decision
schlimmer ,worse
regeln ,regulate
fenster ,window
fangen ,to catch
fort ,on
ständig ,constantly
findest ,find
gefahr ,danger
absolut ,absolutely
mary ,mary
augenblick ,moment
bescheid ,decision
rum ,rum
gedanken ,thoughts
werd ,expectant
ziel ,aim
benutzt ,used
bewegung ,Move
jemandem ,somebody
wünschte ,wish
worte ,worte
kamen ,came
welcher ,which one
zahlen ,numbers
anfang ,Beginning
legen ,lay
erinnerst ,remember
anwalt ,lawyer
fahr ,driving
sitzt ,seated
hilf ,help
offen ,open
schönen ,beautiful
monsieur ,monsieur
müsste ,should
arme ,poor
bier ,beer
fürs ,for
partner ,partner
klein ,small
david ,David
klappe ,flap
süß ,sweet
herum ,around
finger ,finger
ehe ,marriage
rolle ,role
ließ ,was
gleiche ,same
monat ,month
hochzeit ,wedding
max ,Max
führt ,leads
paris ,Paris
wach ,awake
wozu ,what for
arm ,poor
geschrieben ,written
chef ,boss
benutzen ,to use
informationen ,information
erledigt ,done
hoffentlich ,hopefully
müsst ,need
fühlt ,feels
tanzen ,to dance
ansehen ,look at
darfst ,allowed to
zuhause ,At home
wunderbar ,wonderful
hältst ,hold
reise ,travel
gewonnen ,won
dame ,lady
irgendwann ,Sometime
chffffff ,chffffff
alex ,Alex
steckt ,plugged
jedenfalls ,in any case
schreit ,cries
tolle ,amazing
rüber ,over
tschüss ,bye
nennt ,is called
raum ,room
heiß ,hot
foto ,photo
kalt ,cold
paul ,paul
irgendetwas ,anything
weile ,while
bisher ,so far
minute ,minute
unbedingt ,necessarily
zug ,train
sekunden ,seconds
wofür ,for what
erzähl ,tell
nen ,nen
beweise ,proofs
nahm ,took
aller ,all
freut ,pleased
seele ,soul
schießen ,shoot
müde ,tired
dauert ,lasts
magst ,like
harry ,harry
brief ,letter
gelernt ,learned
sucht ,investigated
bekannt ,known
weitere ,Further
unfall ,accident
dahin ,then
kontrolle ,control
beispiel ,example
lady ,lady
dasselbe ,the same thing
herzen ,heart
schlagen ,beat
wütend ,angry
weise ,wise
damen ,Ladies
darin ,in this
gottes ,god
holt ,get
fehlt ,is missing
vorsicht ,Attention
heiße ,name is
beweisen ,to prove
gehabt ,had
zumindest ,at least
vermisst ,missing
hübsch ,pretty
kriegt ,gets
verbindung ,connection
tief ,deep
richtung ,direction
lage ,location
sowieso ,anyway
kraft ,force
normal ,normal
lauf ,run
ehre ,honor
stell ,Vice
geschenk ,gift
bar ,bar
tasche ,bag
gelesen ,read
gekauft ,Bought
wussten ,knew
gestohlen ,stolen
hunger ,hunger
leg ,leg
lügen ,lying
beziehung ,relationship
ben ,ben
verschwunden ,disappeared
steh ,stand
nächstes ,next
gearbeitet ,worked
preis ,price
witz ,joke
meinte ,said
liste ,list
geist ,ghost
neben ,Next
gesucht ,searched
firma ,company
süße ,sweet
rücken ,move
schrecklich ,dreadful
letzter ,last
verliebt ,in love
öffnen ,to open
redet ,talks
boot ,boat
seltsam ,strange
versteckt ,hidden
fürchte ,fear
verschwinde ,disappear
erwischt ,Caught
verkauft ,sold
tante ,aunt
erwarten ,expect
pferd ,horse
wunder ,wonder
sauer ,angry
vermutlich ,presumably
näher ,closer
major ,major
jung ,young
majestät ,majesty
aussehen ,appearance
ans ,ans
de ,de
and ,and
links ,Left
großes ,great
welches ,which
beschützen ,to protect
geboren ,born
erreichen ,to reach
punkt ,Point
kindern ,children
kirche ,church
verraten ,betray
selber ,himself
befehl ,command
colonel ,colonel
fährt ,moves
zieht ,attracts
geburtstag ,birthday
haut ,skin
wette ,bet
reich ,rich
sekunde ,second
fahre ,ride
schwöre ,swear
geredet ,spake
james ,james
madame ,madame
eigene ,own
zeiten ,times
traurig ,Sad
anruf ,Call
nachrichten ,news
frieden ,peace
karte ,map
güte ,quality
euren ,your
diesmal ,this time
schade ,a pity
persönlich ,personally
kriege ,wars
stirbt ,dies
bleibe ,stay
verändert ,changed
sonne ,Sun
lieb ,dear
nämlich ,namely
letztes ,last
bekam ,got
ruft ,calls
professor ,professor
gericht ,dish
nase ,nose
ewig ,forever
singen ,to sing
bank ,Bank
beschäftigt ,employed
computer ,computer
yeah ,yeah
toten ,kill
weihnachten ,Christmas
offensichtlich ,obviously
naja ,well
henry ,henry
gefühle ,emotions
fuß ,foot
show ,show
überraschung ,surprise
geheimnis ,secret
fbi ,fbi
kontakt ,Contact
gold ,gold
drogen ,drugs
regierung ,government
wein ,Wine
kriegst ,get
ermordet ,murdered
fotos ,photos
entfernt ,away
geschlafen ,slept
manche ,some
erledigen ,take care of
ran ,ran
gegenüber ,across from
schlaf ,sleep
lust ,lust
wunderschön ,beautiful
witzig ,funny
nick ,nick
zerstört ,destroyed
übrigens ,by the way
willen ,sake
heim ,home
richtigen ,right
deines ,yours
namens ,called
zeigt ,shows
geliebt ,loved
gehören ,belong
brachte ,brought
herrn ,Mr
blick ,view
besuch ,visit
schlechte ,bad
bewegen ,move
haare ,hair
antworten ,reply
präsident ,president
sagtest ,told
hoffnung ,hope
stecken ,stick
lebe ,live
rechts ,right
interessant ,Interesting
entscheiden ,decide
miteinander ,together
meint ,means
liebst ,love
indem ,by doing
bleibst ,stay
kümmere ,take care
wohnen ,live
weder ,neither
möglichkeit ,possibility
kaputt ,broken
bekomme ,get
flugzeug ,plane
vergangenheit ,past
anderer ,another
zweite ,second
armee ,army
jim ,jim
tee ,tea
entweder ,either
weiss ,White
don ,Don
detective ,detective
aufhalten ,stop
stellt ,provides
verspreche ,promise
überrascht ,surprised
sauber ,clean
hau ,hau
mark ,mark
schlag ,blow
sheriff ,sheriff
untertitel ,subtitle
setzt ,puts
frag ,question
vaters ,father
nervös ,nervous
gesellschaft ,society
verstecken ,hide
schuldig ,guilty
hals ,neck
schützen ,protect
besuchen ,visit
of ,of
passen ,fit
überleben ,to survive
erhalten ,receive
teilen ,share
gebäude ,building
schicksal ,fate
zeichen ,character
richter ,judge
besorgt ,concerned
küche ,kitchen
lief ,ran
vergnügen ,pleasure
wüsste ,know
volk ,people
lhr ,LHR
herausfinden ,find out
königin ,queen
soldaten ,soldiers
feiern ,to celebrate
situation ,situation
lag ,was
gelassen ,calmly
allerdings ,Indeed
soweit ,so far
gefahren ,hazards
verstand ,understanding
bord ,shelf
schönes ,beautiful
jimmy ,Jimmy
billy ,billy
angefangen ,started
lee ,lee
fühlst ,feel
bob ,bob
mussten ,had
rat ,advice
worauf ,whereupon
gebeten ,asked
tony ,tony
kamera ,camera
achtung ,Danger
lieutenant ,lieutenant
ganzes ,whole
schuhe ,Shoes
sarah ,sarah
glückwunsch ,congratulation
niemandem ,no one
gibst ,give
statt ,instead of
übernehmen ,take over
gegend ,area
wald ,Forest
al ,al
la ,la
nimmst ,take
danny ,danny
erkennen ,detect
glas ,Glass
falsche ,false
verantwortlich ,responsible
jesus ,Jesus
stöhnt ,moans
herein ,in
kleid ,dress
zerstören ,to destroy
jawohl ,Yes
london ,London
gegessen ,eaten
abendessen ,dinner
gesetz ,law
gemeinsam ,together
geholfen ,helped
erster ,first
wohnt ,lives
schritt ,step
guck ,peep
nahe ,Near
aussieht ,looks
beginnen ,start
dachten ,thought
band ,tape
ungefähr ,approximately
aufgabe ,task
neun ,nine
furchtbar ,awful
drinnen ,indoors
zuvor ,before
charles ,charles
freue ,look
amerika ,America
übrig ,left
spur ,track
falschen ,false
sergeant ,sergeant
melden ,Report
helfe ,help
werfen ,throw
bill ,bill
haltet ,think
erinnert ,remind
hängt ,hangs
freude ,joy
ehemann ,husband
erschossen ,shot
verzeihen ,forgive
schwein ,pig
uh ,uh
monster ,monster
entschieden ,decided
mission ,mission
verdammten ,damned
brauch ,custom
gewusst ,know
vorne ,ahead
stopp ,stop
übel ,evil
schlampe ,slut
schöner ,more beautiful
adresse ,address
unsinn ,nonsense
messer ,knife
gesund ,healthy
respekt ,respect
pro ,Per
leisten ,Afford
davor ,before
richard ,Richard
bedeuten ,mean
ball ,ball
mitnehmen ,take
gespielt ,played
to ,to
schwierigkeiten ,trouble
hälfte ,half
kannte ,knew
stehe ,am
maria ,Maria
planeten ,planet
schwanger ,pregnant
gruppe ,group
anna ,Ann
verhaftet ,arrested
deal ,deal
seines ,his
irgendwelche ,any
händen ,hands
versteht ,understood
drehen ,rotate
eis ,ice
danken ,to thank
erfolg ,success
zufrieden ,satisfied
schließen ,conclude
besorgen ,to get
wochenende ,weekend
worüber ,about what
stimmen ,be right
nehmt ,take
martin ,martin
m ,m
witze ,joking
beine ,legs
verbrechen ,crime
bericht ,report
nachts ,at night
eurer ,yours
prinzessin ,princess
schmerz ,pain
klingelt ,rings
position ,position
echte ,real
gleichen ,equal
fernsehen ,watch TV
wünsche ,Wishes
schließlich ,after all
gefangen ,captured
schätzchen ,baby
seh ,seh
schwierig ,difficult
angebot ,offer
nah ,close
jane ,jane
gewartet ,waited
kümmert ,takes care
ring ,ring
rennen ,run
lied ,song
eier ,eggs
welchen ,which
sorry ,sorry
fantastisch ,fantastic
schaut ,looks
hielt ,held
falle ,cases
drink ,drink
insel ,island
dauern ,last
daher ,therefore
zufällig ,coincidentally
dorf ,Village
clark ,clark
bewegt ,emotional
mitten ,in the middle
bullen ,cops
feind ,enemy
einverstanden ,I Agree
neuer ,new
bauen ,to build
trägt ,wearing
hängen ,hang
freunden ,friends
deren ,their
halb ,half
verpasst ,lost
sprach ,spoke
leise ,quiet
armen ,poor
wusstest ,knew
fanden ,found
unternehmen ,Companies
träume ,dreams
schläft ,is sleeping
kostet ,costs
spiele ,games
unseres ,our
entlang ,along
johnny ,johnny
versprechen ,promise
tiere ,animals
freiheit ,freedom
verdienen ,to earn
aha ,Aha
unterhalten ,to chat
eingeladen ,invited
schaden ,damage
genannt ,called
beenden ,break up
ray ,ray
geändert ,changed
thomas ,Thomas
lächerlich ,ridiculous
geschlagen ,beaten
park ,park
schätzen ,estimate
männern ,men
t ,t
beginnt ,starts
ehren ,to honor
größte ,greatest
energie ,energy
fleisch ,flesh
besonderes ,special
besteht ,consists
reichen ,pass
robert ,Robert
zeitung ,newspaper
worum ,about what
nachgedacht ,thought
betrunken ,drunk
sowas ,like this
patienten ,patient
gespräch ,conversation
leiden ,To suffer
taxi ,taxi
tötet ,killing
see ,lake
unterschied ,difference
wind ,wind
singt ,sings
schreien ,scream
daniel ,Daniel
sahen ,saw
wand ,wall
bus ,bus
lhre ,Their
angriff ,attack
verhalten ,behavior
loch ,hole
interesse ,interest
treten ,to step
quatsch ,nonsense
trifft ,meets
polizist ,police officer
blumen ,flowers
neuigkeiten ,news
bringst ,bring
flasche ,bottle
rief ,cried
schuss ,shot
fassen ,take
meer ,sea
konntest ,could
schafft ,creates
maschine ,machine
spreche ,speak
bein ,leg
eddie ,eddie
bekommst ,get
verbringen ,spend
bücher ,Books
blöd ,stupid
frühstück ,breakfast
tommy ,tommy
meter ,meter
bilder ,pictures
aufpassen ,watch out
claire ,claire
dessen ,whose
muß ,got to
freuen ,looking forward
engel ,Angel
offenbar ,apparently
gelegenheit ,opportunity
fang ,fishing
lüge ,lie
ohren ,ears
au ,au
angetan ,done
beeil ,hurry
brechen ,break
brüder ,brothers
zeitpunkt ,time
keinem ,any
ecke ,corner
brücke ,bridge
druck ,print
mitgebracht ,brought
seufzt ,sighs
date ,date
haufen ,heap
oma ,granny
auftrag ,assignment
leer ,empty
entkommen ,escape
bobby ,Bobby
weißen ,white
lösung ,solution
wart ,serviceable
pause ,Break
irre ,crazy
gestellt ,posed
keller ,"basement, cellar"
gebrochen ,Broken
weinen ,cry
nutzen ,use
wünschen ,to wish
fragt ,asks
maul ,mouth
verantwortung ,responsibility
schloss ,lock
hut ,cap
lächeln ,smile
ryan ,ryan
red ,red
grad ,Degree
zweiten ,second
hinaus ,out
mitkommen ,come along
vorhin ,earlier
fahrt ,journey
gemeint ,meant
ernsthaft ,seriously
gebaut ,built
bombe ,bomb
hasst ,hates
versteh ,understand
kosten ,costs
zeige ,show
traf ,hit
eigenes ,own
haar ,hair
fragte ,asked
jason ,jason
operation ,surgery
befehle ,commands
schmerzen ,pain
erklärt ,explained
steve ,steve
dach ,"top, roof"
folge ,episode
gelaufen ,ran
schwarze ,black
dankbar ,grateful
gehirn ,brain
töte ,kill
mädels ,girls
mut ,courage
heilige ,saint
laura ,laura
tier ,animal
system ,system
mannes ,man
wahnsinn ,madness
nee ,nope
rose ,rose
club ,club
geschlossen ,closed
hintern ,butt
is ,is
thema ,theme
fiel ,fell
gehalten ,held
dorthin ,there
urlaub ,vacation
steig ,sidewalk
vorwärts ,forward
überprüfen ,check
besseres ,better
beweis ,proof
baum ,tree
gebt ,give
funktionieren ,function
anscheinend ,apparently
lehrer ,teacher
hoffen ,to hope
bessere ,better
isst ,eats
nachmittag ,afternoon
nem ,nEM
risiko ,risk
chuck ,chuck
knast ,slammer
entschuldigt ,apologizes
gilt ,applies
held ,hero
daraus ,from that
erstes ,first
fräulein ,young lady
rachel ,rachel
prima ,great
brauchte ,needed
gewalt ,violence
dean ,dean
liebes ,dear
schaffst ,manage
nachdenken ,think
tor ,goal
erfahrung ,Experience
pläne ,plans
jagen ,to hunt
katze ,cat
runde ,round
deutsche ,German
schwanz ,tail
taten ,doings
lord ,lord
dringend ,urgent
commander ,commander
großvater ,grandfather
sommer ,summer
